0.1788854382 -2.054 0.0139754249 0.005 0.032 0.005
0.2 -1.478 0.0125 0.005 0.04 0.005
0.2167948339 -1.02 0.0115316401 0.005 0.047 0.005
0.2302172887 -0.528 0.0108593061 0.005 0.053 0.005
0.250998008 0.071 0.0099602384 0.005 0.063 0.005
0.2701851217 0.526 0.0092529151 0.005 0.073 0.005
0.2898275349 1.005 0.0086258195 0.005 0.084 0.005
0.316227766 1.504 0.0079056942 0.005 0.1 0.005
0.3449637662 2.028 0.0072471379 0.005 0.119 0.005
0.3924283374 2.533 0.0063705899 0.005 0.154 0.005
0.4593473631 3.002 0.0054425043 0.005 0.211 0.005
0.5440588203 3.534 0.0045950914 0.005 0.296 0.005
0.6196773354 4.019 0.0040343577 0.005 0.384 0.005
