0.1870828693 -2.054 0.0133630621 0.005 0.035 0.005
0.2097617696 -1.478 0.0119182824 0.005 0.044 0.005
0.2258317958 -1.02 0.0110701861 0.005 0.051 0.005
0.2408318916 -0.528 0.010380685 0.005 0.058 0.005
0.2645751311 0.071 0.0094491118 0.005 0.07 0.005
0.2846049894 0.526 0.0087841046 0.005 0.081 0.005
0.3049590136 1.005 0.0081978229 0.005 0.093 0.005
0.3376388603 1.504 0.007404361 0.005 0.114 0.005
0.3847076812 2.028 0.0064984406 0.005 0.148 0.005
0.4549725266 2.533 0.0054948373 0.005 0.207 0.005
0.5385164807 3.002 0.0046423835 0.005 0.29 0.005
0.6308724118 3.534 0.0039627664 0.005 0.398 0.005
0.692820323 4.019 0.0036084392 0.005 0.48 0.005
