0.1788854382 -2.054 0.0139754249 0.005 0.032 0.005
0.2 -1.478 0.0125 0.005 0.04 0.005
0.2144761059 -1.02 0.0116563101 0.005 0.046 0.005
0.2323790008 -0.528 0.0107582871 0.005 0.054 0.005
0.2569046516 0.071 0.0097312368 0.005 0.066 0.005
0.2898275349 0.526 0.0086258195 0.005 0.084 0.005
0.3286335345 1.005 0.0076072577 0.005 0.108 0.005
0.3820994635 1.504 0.006542799 0.005 0.146 0.005
0.4449719092 2.028 0.0056183322 0.005 0.198 0.005
0.5263078947 2.533 0.0047500713 0.005 0.277 0.005
0.5916079783 3.002 0.0042257713 0.005 0.35 0.005
0.6640783086 3.534 0.0037646163 0.005 0.441 0.005
0.7014271167 4.019 0.0035641622 0.005 0.492 0.005
