3.1062433594 -0.0243191755 0.0107079727 0.009795125
3.151118251 0.1139380071 0.0098356199 0.0088513884
3.1806813734 0.2391870737 0.0093165624 0.0080612082
3.2109195198 0.3467909606 0.0088280546 0.0074304762
3.2423656001 0.488613882 0.0083626119 0.0066609542
3.2828837682 0.6344123731 0.0078222948 0.0059446306
3.3139439844 0.8029118568 0.0074500563 0.005200622
3.3456421394 0.9310101234 0.0071048806 0.004693641
3.3557141073 0.9629633018 0.0070021385 0.0046821682
3.3262938038 0.8429106452 0.0073115428 0.0050367786
3.2935640756 0.7042878215 0.0076903469 0.0056262423
3.2674758461 0.5568247876 0.0080202053 0.0063181274
3.2171140492 0.3722121517 0.0087330245 0.0072956801
3.1610918796 0.1792558416 0.0096557595 0.0084416153
3.1214903939 0.0306353383 0.0103996639 0.0094160558
